player;nacionalidad;position;equipo;edad;nacimiento;partidos_jugados;titular;minutes_played;noventas_jugados;goles;asistencias;goles_mas_asist;goles_sin_penal;penales_convertidos;penales_intentados;amarillas;rojas;goles_asist_sin_penal_p90;tiros;tiros_al_arco;pct_tiros_al_arco;tiros_p90;tiros_arco_p90;goles_por_tiro;goles_por_tiro_al_arco;goles_recibidos;goles_recibidos_p90;tiros_al_arco_recibidos;atajadas;pct_atajadas;partidos_ganados_gk;empatados_gk;perdidos_gk;vallas_invictas;pct_vallas_invictas;penales_recibidos_gk;penales_atajados;penales_errados_rival;doble_amarilla;faltas_cometidas;faltas_recibidas;offsides;centros;intercepciones;entradas_ganadas;penales_ganados;penales_concedidos;goles_en_contra;goles_p90;asistencias_p90;tiros_p90_calc;intercepciones_p90;entradas_p90;centros_p90;faltas_p90
Juan Nardoni;ar ARG;MF;Racing Club;24-034;2002,0;2;2;126;1,4;0;0;0;0;0;0;1;0;0,0;1;0;0,0;0,71;0,0;0,0;;;;;;;;;;;;;;;0;3;1;0;0;0;1;;;0;0,0;0,0;0,714;0,0;0,714;0,0;2,143
Juan Pignani;ar ARG;DF;C. Córdoba–SdE;25-046;2001,0;8;7;602;6,7;0;0;0;0;0;0;2;1;0,0;2;0;0,0;0,3;0,0;0,0;;;;;;;;;;;;;;;0;5;3;0;0;9;11;;;0;0,0;0,0;0,299;1,343;1,642;0,0;0,746
Juan Pintado;uy URU;DFMF;Unión;32-020;1994,0;4;0;100;1,1;0;0;0;0;0;0;0;0;0,0;1;0;0,0;0,9;0,0;0,0;;;;;;;;;;;;;;;0;0;0;0;11;0;3;;;0;0,0;0,0;0,909;0,0;2,727;10,0;0,0
Juan Portillo;ar ARG;DFMF;River Plate;26-091;2000,0;1;0;16;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juan Pérez;co COL;MF;Gimnasia–LP;22-023;2004,0;4;1;126;1,4;0;0;0;0;0;0;0;0;0,0;3;1;33,3;2,14;0,71;0,0;0,0;;;;;;;;;;;;;;0;3;2;0;1;1;2;;;0;0,0;0,0;2,143;0,714;1,429;0,714;2,143
Juan Quintero;co COL;MF;River Plate;33-211;1993,0;12;6;549;6,1;2;2;4;2;0;1;0;0;0,66;26;13;50,0;4,26;2,13;0,07;0,14;;;;;;;;;;;;;;0;0;6;1;35;1;0;;;0;0,328;0,328;4,262;0,164;0,0;5,738;0,0
Juan Randazzo;ar ARG;DF;Dep. Riestra;31-310;1994,0;12;10;932;10,4;0;0;0;0;0;0;3;0;0,0;2;0;0,0;0,19;0,0;0,0;;;;;;;;;;;;;;;0;19;7;1;3;14;7;;;0;0,0;0,0;0,192;1,346;0,673;0,288;1,827
Juan Rattalino;ar ARG;MF;CA San Lorenzo;22-206;2004,0;7;1;238;2,6;0;0;0;0;0;0;0;0;0,0;2;0;0,0;0,76;0,0;0,0;;;;;;;;;;;;;;;0;3;2;0;8;2;4;;;0;0,0;0,0;0,769;0,769;1,538;3,077;1,154
Juan Romero;py PAR;FWMF;Instituto;25-104;2001,0;1;0;14;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juan Saborido;ar ARG;DF;Platense;28-114;1998,0;18;17;1508;16,8;0;0;0;0;0;0;1;0;0,0;17;3;17,6;1,01;0,18;0,0;0,0;;;;;;;;;;;;;;0;14;9;0;44;16;33;;;0;0,0;0,0;1,012;0,952;1,964;2,619;0,833
Juan Sforza;ar ARG;MF;Talleres–C;24-184;2002,0;15;10;1002;11,1;0;0;0;0;0;0;4;0;0,0;4;0;0,0;0,36;0,0;0,0;;;;;;;;;;;;;;;0;11;14;0;11;13;18;;;0;0,0;0,0;0,36;1,171;1,622;0,991;0,991
Juan Velazquez;ar ARG;MF;Belgrano;21-271;2004,0;10;8;601;6,7;0;0;0;0;0;0;1;0;0,0;5;0;0,0;0,75;0,0;0,0;;;;;;;;;;;;;;;0;3;6;1;35;7;6;;;0;0,0;0,0;0,746;1,045;0,896;5,224;0,448
Juan Villalba;ar ARG;DF;Tigre;20-155;2006,0;4;2;197;2,2;0;0;0;0;0;0;2;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;3;0;4;4;1;;;0;0,0;0,0;0,0;1,818;0,455;1,818;0,909
Juan Álvarez;ar ARG;MF;CA San Lorenzo;30-188;1996,0;2;2;99;1,1;0;0;0;0;0;0;0;0;0,0;2;2;100,0;1,82;1,82;0,0;0,0;;;;;;;;;;;;;;0;5;3;0;7;1;0;;;0;0,0;0,0;1,818;0,909;0,0;6,364;4,545
Juan Álvarez;ar ARG;FWMF;Gimnasia–M;30-188;1996,0;1;0;29;0,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Julián Ceballos;ar ARG;MFFW;Gimnasia–M;21-338;2004,0;12;8;699;7,8;0;1;1;0;0;0;2;0;0,13;10;2;20,0;1,29;0,26;0,0;0,0;;;;;;;;;;;;;;0;13;4;2;24;9;16;;;0;0,0;0,128;1,282;1,154;2,051;3,077;1,667
Julián Contrera;ar ARG;MF;Sarmiento–J;23-099;2003,0;18;12;1094;12,2;0;2;2;0;0;0;6;0;0,16;14;5;35,7;1,15;0,41;0,0;0,0;;;;;;;;;;;;;;0;39;16;8;72;10;15;;;0;0,0;0,164;1,148;0,82;1,23;5,902;3,197
Julián Fernández;ar ARG;MF;Atlé Tucumán;31-148;1995,0;3;1;97;1,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;0;0;3;2;;;0;0,0;0,0;0,0;2,727;1,818;0,0;0,909
Julián Fernández;ar ARG;MFFW;Rosario Central;22-226;2004,0;13;11;927;10,3;2;2;4;2;0;0;1;0;0,39;18;4;22,2;1,75;0,39;0,11;0,5;;;;;;;;;;;;;;0;6;17;3;25;3;11;;;0;0,194;0,194;1,748;0,291;1,068;2,427;0,583
Julián Kadijevic;ar ARG;GK;Gimnasia–LP;22-202;2004,0;2;1;153;1,7;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;4,0;2,35;9,0;5,0;55,6;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Julián López;ar ARG;MF;Defensa;26-221;2000,0;7;1;250;2,8;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;3;1;0;1;2;6;;;0;0,0;0,0;0,0;0,714;2,143;0,357;1,071
Julián Mavilla;ar ARG;MF;Belgrano;26-112;2000,0;6;1;268;3,0;1;0;1;1;0;0;0;0;0,34;1;1;100,0;0,34;0,34;1,0;1,0;;;;;;;;;;;;;;0;3;2;2;5;3;4;;;0;0,333;0,0;0,333;1,0;1,333;1,667;1,0
Julián Mavilla;ar ARG;MF;Sarmiento–J;26-112;2000,0;4;3;232;2,6;2;0;2;2;0;0;1;0;0,78;6;2;33,3;2,33;0,78;0,33;1,0;;;;;;;;;;;;;;0;1;5;0;13;0;3;;;0;0,769;0,0;2,308;0,0;1,154;5,0;0,385
Julián Palacios;ar ARG;MF;Unión;27-194;1999,0;20;20;1607;17,9;3;6;9;3;0;0;5;0;0,5;36;10;27,8;2,02;0,56;0,08;0,3;;;;;;;;;;;;;;0;30;39;2;77;9;19;;;0;0,168;0,335;2,011;0,503;1,061;4,302;1,676
Junior Arias;uy URU;FW;Aldosivi;33-092;1993,0;11;9;714;7,9;0;0;0;0;0;0;2;0;0,0;19;3;15,8;2,39;0,38;0,0;0,0;;;;;;;;;;;;;;0;6;7;3;6;4;1;;;0;0,0;0,0;2,405;0,506;0,127;0,759;0,759
Junior Marabel;py PAR;FW;Sarmiento–J;28-144;1998,0;21;19;1577;17,5;10;3;13;7;3;3;1;0;0,57;40;19;47,5;2,28;1,08;0,23;0,45;;;;;;;;;;;;;;0;13;20;3;3;3;5;;;0;0,571;0,171;2,286;0,171;0,286;0,171;0,743
Kendry Páez;ec ECU;MFFW;River Plate;19-105;2007,0;8;3;317;3,5;1;0;1;1;0;0;1;0;0,28;7;3;42,9;1,99;0,85;0,14;0,33;;;;;;;;;;;;;;0;2;2;0;12;3;1;;;0;0,286;0,0;2,0;0,857;0,286;3,429;0,571
Kevin Castaño;co COL;MF;River Plate;25-322;2000,0;5;1;96;1,1;0;0;0;0;0;0;0;0;0,0;1;0;0,0;0,94;0,0;0,0;;;;;;;;;;;;;;;0;4;2;0;1;2;3;;;0;0,0;0,0;0,909;1,818;2,727;0,909;3,636
Kevin Coronel;ar ARG;DF;Arg Juniors;22-006;2004,0;12;10;923;10,3;0;0;0;0;0;0;2;0;0,0;10;5;50,0;0,98;0,49;0,0;0,0;;;;;;;;;;;;;;0;11;8;0;38;11;10;;;0;0,0;0,0;0,971;1,068;0,971;3,689;1,068
Kevin Facundo Gutiérrez;ar ARG;MF;Arg Juniors;29-075;1997,0;5;4;374;4,2;0;0;0;0;0;0;1;0;0,0;3;2;66,7;0,72;0,48;0,0;0,0;;;;;;;;;;;;;;0;1;2;0;2;4;6;;;0;0,0;0,0;0,714;0,952;1,429;0,476;0,238
Kevin Gutiérrez;ar ARG;MF;Rosario Central;20-199;2006,0;1;0;14;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kevin Jappert;ar ARG;DFMF;Barracas Central;22-173;2004,0;14;10;971;10,8;1;0;1;1;0;0;1;0;0,09;8;3;37,5;0,74;0,28;0,13;0,33;;;;;;;;;;;;;;0;7;9;1;5;29;13;;;0;0,093;0,0;0,741;2,685;1,204;0,463;0,648
Kevin Lomónaco;ar ARG;DF;Independiente;24-221;2002,0;20;17;1509;16,8;0;1;1;0;0;0;5;0;0,06;5;0;0,0;0,3;0,0;0,0;;;;;;;;;;;;;;;0;13;21;1;7;27;18;;;0;0,0;0,06;0,298;1,607;1,071;0,417;0,774
Kevin Ortíz;ar ARG;MF;Atlé Tucumán;25-333;2000,0;14;9;841;9,3;0;1;1;0;0;0;2;1;0,11;6;1;16,7;0,64;0,11;0,0;0,0;;;;;;;;;;;;;;1;13;16;0;7;18;19;;;0;0,0;0,108;0,645;1,935;2,043;0,753;1,398
Kevin Retamar;ar ARG;MFFW;Platense;27-192;1999,0;17;10;879;9,8;2;2;4;2;0;0;0;0;0,41;23;8;34,8;2,35;0,82;0,09;0,25;;;;;;;;;;;;;;0;7;9;3;30;9;9;;;0;0,204;0,204;2,347;0,918;0,918;3,061;0,714
Kevin Vázquez;ar ARG;MF;Ind. Rivadavia;25-151;2001,0;7;3;273;3,0;0;0;0;0;0;0;0;0;0,0;4;1;25,0;1,32;0,33;0,0;0,0;;;;;;;;;;;;;;0;3;3;0;4;2;2;;;0;0,0;0,0;1,333;0,667;0,667;1,333;1,0
Kevin Zenon;ar ARG;FWMF;Boca Juniors;25-018;2001,0;6;3;286;3,2;0;0;0;0;0;0;0;0;0,0;7;4;57,1;2,2;1,26;0,0;0,0;;;;;;;;;;;;;;0;1;11;0;21;1;3;;;0;0,0;0,0;2,188;0,312;0,938;6,562;0,312
Laurtaro Giaccone;ar ARG;MFFW;Arg Juniors;25-197;2001,0;10;3;358;4,0;0;0;0;0;0;0;0;0;0,0;7;3;42,9;1,76;0,75;0,0;0,0;;;;;;;;;;;;;;0;2;4;1;13;7;1;;;0;0,0;0,0;1,75;1,75;0,25;3,25;0,5
Lautaro Blanco;ar ARG;DF;Boca Juniors;27-179;1999,0;18;17;1541;17,1;1;1;2;1;0;0;1;0;0,12;10;2;20,0;0,58;0,12;0,1;0,5;;;;;;;;;;;;;;0;7;4;1;134;12;42;;;0;0,058;0,058;0,585;0,702;2,456;7,836;0,409
Lautaro Cano;ar ARG;DF;Banfield;23-360;2002,0;1;1;66;0,7;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;0;1;1;3;;;0;0,0;0,0;0,0;1,429;4,286;1,429;1,429
Lautaro Carrera;ar ARG;DF;Gimnasia–M;23-079;2003,0;12;5;599;6,7;0;0;0;0;0;0;1;0;0,0;4;0;0,0;0,6;0,0;0,0;;;;;;;;;;;;;;;0;9;2;0;0;9;14;;;0;0,0;0,0;0,597;1,343;2,09;0,0;1,343
Lautaro Di Lollo;ar ARG;DF;Boca Juniors;22-160;2004,0;17;17;1530;17,0;1;0;1;1;0;0;3;0;0,06;10;4;40,0;0,59;0,24;0,1;0,25;;;;;;;;;;;;;;0;12;7;0;0;15;30;;;0;0,059;0,0;0,588;0,882;1,765;0,0;0,706
Lautaro Duarte;ar ARG;MF;Dep. Riestra;21-147;2005,0;1;1;45;0,5;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;1;0;0;0;1;;;0;0,0;0,0;0,0;0,0;2,0;0,0;4,0
Lautaro Díaz;ar ARG;FW;Racing Club;28-088;1998,0;5;4;303;3,4;0;0;0;0;0;0;0;0;0,0;3;1;33,3;0,89;0,3;0,0;0,0;;;;;;;;;;;;;;0;1;7;1;3;4;2;;;0;0,0;0,0;0,882;1,176;0,588;0,882;0,294
Lautaro Gianetti;ar ARG;DF;Newell's;32-277;1993,0;5;4;381;4,2;0;0;0;0;0;0;1;0;0,0;2;0;0,0;0,47;0,0;0,0;;;;;;;;;;;;;;;0;2;1;0;0;8;4;;;0;0,0;0,0;0,476;1,905;0,952;0,0;0,476
Lautaro Godoy;py PAR;MFFW;Atlé Tucumán;23-155;2003,0;17;7;796;8,8;0;0;0;0;0;0;3;1;0,0;18;6;33,3;2,04;0,68;0,0;0,0;;;;;;;;;;;;;;1;20;8;1;46;11;15;;;0;0,0;0,0;2,045;1,25;1,705;5,227;2,273
Lautaro Gutierrez;ar ARG;FW;Belgrano;20-193;2006,0;14;2;413;4,6;2;0;2;2;0;0;0;0;0,44;10;5;50,0;2,18;1,09;0,2;0,4;;;;;;;;;;;;;;0;5;5;1;6;0;1;;;0;0,435;0,0;2,174;0,0;0,217;1,304;1,087
Lautaro Gómez;ar ARG;MF;Banfield;23-009;2003,0;20;10;880;9,8;3;0;3;3;0;0;2;0;0,31;13;6;46,2;1,33;0,61;0,23;0,5;;;;;;;;;;;;;;0;11;23;0;25;6;16;;;0;0,306;0,0;1,327;0,612;1,633;2,551;1,122
Lautaro Millán;cl CHI;MF;Independiente;21-001;2005,0;16;9;798;8,9;1;1;2;1;0;0;4;0;0,23;12;4;33,3;1,35;0,45;0,08;0,25;;;;;;;;;;;;;;0;11;15;0;27;3;9;;;0;0,112;0,112;1,348;0,337;1,011;3,034;1,236
Lautaro Montenegro;ar ARG;DF;CA San Lorenzo;21-172;2005,0;5;5;450;5,0;0;0;0;0;0;0;2;0;0,0;2;0;0,0;0,4;0,0;0,0;;;;;;;;;;;;;;;0;9;3;0;5;10;6;;;0;0,0;0,0;0,4;2,0;1,2;1,0;1,8
Lautaro Mora;ar ARG;FW;Huracán;20-173;2006,0;8;0;93;1,0;0;0;0;0;0;0;2;0;0,0;3;0;0,0;2,9;0,0;0,0;;;;;;;;;;;;;;;0;4;1;0;0;1;0;;;0;0,0;0,0;3,0;1,0;0,0;0,0;4,0
Lautaro Morales;ar ARG;GK;Tigre;26-244;1999,0;1;1;90;1,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;0,0;0,0;3,0;3,0;100,0;0,0;1,0;0,0;1,0;100,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lautaro Ortiz;ar ARG;MF;Talleres–C;18-213;2008,0;1;0;12;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;10,0
Lautaro Pereyra;ar ARG;MF;River Plate;18-142;2008,0;7;2;169;1,9;0;0;0;0;0;0;0;0;0,0;7;0;0,0;3,73;0,0;0,0;;;;;;;;;;;;;;;0;4;1;0;5;1;1;;;0;0,0;0,0;3,684;0,526;0,526;2,632;2,105
Lautaro Petruchi;ar ARG;GK;Gimnasia–M;27-350;1998,0;2;2;180;2,0;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;2,0;1,0;8,0;6,0;75,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;1;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lautaro Rios;ar ARG;MF;Newell's;19-329;2006,0;5;3;265;2,9;0;1;1;0;0;0;0;0;0,34;5;0;0,0;1,7;0,0;0,0;;;;;;;;;;;;;;;0;5;4;1;8;1;4;;;0;0,0;0,345;1,724;0,345;1,379;2,759;1,724
Lautaro Rivero;ar ARG;DF;River Plate;22-289;2003,0;16;15;1327;14,7;1;0;1;1;0;0;7;0;0,07;9;3;33,3;0,61;0,2;0,11;0,33;;;;;;;;;;;;;;0;15;18;0;4;18;19;;;0;0,068;0,0;0,612;1,224;1,293;0,272;1,02
Lautaro Ríos;ar ARG;MF;Banfield;25-312;2000,0;5;2;301;3,3;0;0;0;0;0;0;1;0;0,0;4;2;50,0;1,2;0,6;0,0;0,0;;;;;;;;;;;;;;0;10;8;0;1;7;2;;;0;0,0;0,0;1,212;2,121;0,606;0,303;3,03
Lautaro Vargas;ar ARG;DF;Unión;21-197;2005,0;20;20;1656;18,4;0;2;2;0;0;0;9;0;0,11;10;2;20,0;0,54;0,11;0,0;0,0;;;;;;;;;;;;;;0;14;12;2;86;18;30;;;0;0,0;0,109;0,543;0,978;1,63;4,674;0,761
Lautaro Villegas;ar ARG;MF;Banfield;22-230;2003,0;18;11;952;10,6;0;0;0;0;0;0;3;0;0,0;4;1;25,0;0,38;0,09;0,0;0,0;;;;;;;;;;;;;;0;12;7;0;6;7;19;;;0;0,0;0,0;0,377;0,66;1,792;0,566;1,132
Leandro Brey;ar ARG;GK;Boca Juniors;23-330;2002,0;5;4;369;4,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;1,0;0,24;10,0;9,0;90,0;4,0;0,0;0,0;4,0;100,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Leandro Díaz;ar ARG;FW;Atlé Tucumán;34-072;1992,0;17;15;1293;14,4;7;1;8;4;3;4;3;0;0,35;35;19;54,3;2,44;1,32;0,18;0,3;;;;;;;;;;;;;;0;27;17;21;3;1;3;;;0;0,486;0,069;2,431;0,069;0,208;0,208;1,875
Leandro Fernández;ar ARG;FW;Arg Juniors;35-158;1991,0;7;1;149;1,7;0;0;0;0;0;0;1;0;0,0;4;1;25,0;2,42;0,6;0,0;0,0;;;;;;;;;;;;;;0;1;4;3;10;0;1;;;0;0,0;0,0;2,353;0,0;0,588;5,882;0,588
Leandro Fernández;ar ARG;FW;Defensa;35-158;1991,0;4;4;308;3,4;0;0;0;0;0;0;0;0;0,0;9;3;33,3;2,63;0,88;0,0;0,0;;;;;;;;;;;;;;0;4;5;10;4;1;4;;;0;0,0;0,0;2,647;0,294;1,176;1,176;1,176
Leandro González Pirez;ar ARG;DF;Estudiantes–LP;34-172;1992,0;14;12;1106;12,3;1;0;1;1;0;0;7;0;0,08;7;3;42,9;0,57;0,24;0,14;0,33;;;;;;;;;;;;;;0;11;13;0;1;13;16;;;0;0,081;0,0;0,569;1,057;1,301;0,081;0,894
Leandro Lescano;ar ARG;DF;Huracán;23-167;2003,0;7;4;292;3,2;0;0;0;0;0;0;3;2;0,0;5;1;20,0;1,54;0,31;0,0;0,0;;;;;;;;;;;;;;1;12;5;2;13;6;5;;;0;0,0;0,0;1,562;1,875;1,562;4,062;3,75
Leandro Lozano;uy URU;DFMF;Arg Juniors;27-241;1998,0;11;11;942;10,5;0;1;1;0;0;0;2;0;0,1;9;2;22,2;0,86;0,19;0,0;0,0;;;;;;;;;;;;;;0;4;17;2;50;16;19;;;0;0,0;0,095;0,857;1,524;1,81;4,762;0,381
Leandro Lozano;uy URU;DF;Boca Juniors;27-241;1998,0;4;3;265;2,9;0;0;0;0;0;0;0;0;0,0;2;1;50,0;0,68;0,34;0,0;0,0;;;;;;;;;;;;;;0;6;4;0;17;1;3;;;0;0,0;0,0;0,69;0,345;1,034;5,862;2,069
Leandro Paredes;ar ARG;MF;Boca Juniors;32-049;1994,0;18;14;1286;14,3;2;3;5;0;2;2;7;0;0,21;24;6;25,0;1,68;0,42;0,08;0,25;;;;;;;;;;;;;;0;15;32;1;70;13;18;;;0;0,14;0,21;1,678;0,909;1,259;4,895;1,049
Leonard Costa;uy URU;DF;Ind. Rivadavia;27-354;1998,0;18;17;1334;14,8;1;1;2;1;0;0;1;0;0,13;8;1;12,5;0,54;0,07;0,13;1,0;;;;;;;;;;;;;;0;7;8;2;0;17;8;;;0;0,068;0,068;0,541;1,149;0,541;0,0;0,473
Leonardo Gil;ar ARG;MF;Huracán;35-078;1991,0;21;18;1560;17,3;0;2;2;0;0;0;4;0;0,12;14;5;35,7;0,81;0,29;0,0;0,0;;;;;;;;;;;;;;0;17;45;1;73;12;19;;;0;0,0;0,116;0,809;0,694;1,098;4,22;0,983
Leonardo Godoy;ar ARG;DF;Independiente;31-111;1995,0;12;11;799;8,9;0;0;0;0;0;0;3;0;0,0;7;1;14,3;0,79;0,11;0,0;0,0;;;;;;;;;;;;;;0;13;14;3;24;5;9;;;0;0,0;0,0;0,787;0,562;1,011;2,697;1,461
Leonardo Heredia;ar ARG;FWMF;Platense;30-218;1996,0;18;9;725;8,1;0;0;0;0;0;0;3;0;0,0;19;6;31,6;2,36;0,74;0,0;0,0;;;;;;;;;;;;;;0;13;8;5;2;7;2;;;0;0,0;0,0;2,346;0,864;0,247;0,247;1,605
Leonardo Landriel;ar ARG;MF;Dep. Riestra;30-034;1996,0;2;0;20;0,2;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;5,0
Leonardo Marchi;ar ARG;DF;C. Córdoba–SdE;29-334;1996,0;6;3;282;3,1;0;0;0;0;0;0;2;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;4;0;1;19;4;7;;;0;0,0;0,0;0,0;1,29;2,258;6,129;1,29
Leonardo Morales;ar ARG;DF;Belgrano;35-128;1991,0;19;19;1540;17,1;0;0;0;0;0;0;5;1;0,0;11;1;9,1;0,64;0,06;0,0;0,0;;;;;;;;;;;;;;0;7;12;0;11;18;17;;;0;0,0;0,0;0,643;1,053;0,994;0,643;0,409
Leonardo Rios;ar ARG;DF;Rosario Central;19-281;2006,0;1;0;24;0,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;1;0;1;1;0;;;0;0,0;0,0;0,0;3,333;0,0;3,333;0,0
Leonardo Sequeira;ar ARG;MF;C. Córdoba–SdE;31-113;1995,0;2;1;115;1,3;0;1;1;0;0;0;1;0;0,78;3;0;0,0;2,35;0,0;0,0;;;;;;;;;;;;;;;0;1;1;0;4;1;3;;;0;0,0;0,769;2,308;0,769;2,308;3,077;0,769
Leonardo Sequeira;ar ARG;FWMF;Huracán;31-113;1995,0;10;0;115;1,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;0;8;2;1;;;0;0,0;0,0;0,0;1,538;0,769;6,154;0,769
Leonardo Sigali;ar ARG;DF;Aldosivi;39-080;1987,0;3;3;225;2,5;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;0;1;1;1;;;0;0,0;0,0;0,0;0,4;0,4;0,4;0,4
Leonel Bucca;ar ARG;MF;Ind. Rivadavia;27-150;1999,0;11;5;434;4,8;4;0;4;4;0;0;0;0;0,83;13;5;38,5;2,7;1,04;0,31;0,8;;;;;;;;;;;;;;0;7;8;0;9;3;8;;;0;0,833;0,0;2,708;0,625;1,667;1,875;1,458
Leonel Di Plácido;ar ARG;DFMF;Atlé Tucumán;32-201;1994,0;9;7;607;6,7;0;0;0;0;0;0;2;0;0,0;5;1;20,0;0,74;0,15;0,0;0,0;;;;;;;;;;;;;;0;7;8;0;13;10;11;;;0;0,0;0,0;0,746;1,493;1,642;1,94;1,045
Leonel Flores;ar ARG;FWMF;Boca Juniors;19-192;2007,0;5;5;402;4,5;0;0;0;0;0;0;1;0;0,0;12;3;25,0;2,69;0,67;0,0;0,0;;;;;;;;;;;;;;0;5;11;0;27;0;4;;;0;0,0;0,0;2,667;0,0;0,889;6,0;1,111
Leonel Mosevich;ar ARG;DF;Instituto;29-194;1997,0;21;21;1890;21,0;0;0;0;0;0;0;6;0;0,0;14;4;28,6;0,67;0,19;0,0;0,0;;;;;;;;;;;;;;0;24;6;2;0;23;17;;;0;0,0;0,0;0,667;1,095;0,81;0,0;1,143
Leonel Pérez;ar ARG;MF;Racing Club;22-008;2004,0;1;0;17;0,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lisandro Duarte;ar ARG;MF;Rosario Central;19-027;2007,0;1;1;63;0,7;0;0;0;0;0;0;0;0;0,0;1;0;0,0;1,43;0,0;0,0;;;;;;;;;;;;;;;0;2;3;0;2;0;2;;;0;0,0;0,0;1,429;0,0;2,857;2,857;2,857
Lisandro López;ar ARG;DF;Belgrano;36-350;1989,0;17;17;1468;16,3;1;0;1;1;0;0;2;0;0,06;11;5;45,5;0,67;0,31;0,09;0,2;;;;;;;;;;;;;;0;7;5;1;0;25;22;;;0;0,061;0,0;0,675;1,534;1,35;0,0;0,429
Lisandro Magallán;ar ARG;DF;Vélez Sarsfield;32-324;1993,0;17;17;1465;16,3;0;1;1;0;0;0;3;0;0,06;2;0;0,0;0,12;0,0;0,0;;;;;;;;;;;;;;;0;13;4;0;0;12;18;;;0;0,0;0,061;0,123;0,736;1,104;0,0;0,798
Lisandro Piñero;ar ARG;MF;Banfield;19-033;2007,0;15;5;552;6,1;0;0;0;0;0;0;3;0;0,0;5;0;0,0;0,82;0,0;0,0;;;;;;;;;;;;;;;0;7;24;2;14;2;7;;;0;0,0;0,0;0,82;0,328;1,148;2,295;1,148
Luca Feler;ar ARG;MF;Vélez Sarsfield;18-203;2008,0;6;1;104;1,2;0;0;0;0;0;0;0;0;0,0;1;1;100,0;0,87;0,87;0,0;0,0;;;;;;;;;;;;;;0;0;2;0;3;0;0;;;0;0,0;0,0;0,833;0,0;0,0;2,5;0,0
Luca Klimowicz;ar ARG;FW;Instituto;22-090;2004,0;2;0;11;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;1;0;0;1;;;0;0,0;0,0;0,0;0,0;10,0;0,0;10,0
Luca Rafaelli;;MF;Instituto;;;9;1;247;2,7;1;1;2;1;0;0;2;0;0,73;6;2;33,3;2,19;0,73;0,17;0,5;;;;;;;;;;;;;;0;6;5;0;9;1;3;;;0;0,37;0,37;2,222;0,37;1,111;3,333;2,222
